TOKEN,REPETICIONES,UBICACION
gauch,161,124
elephants,122,160
soil,115,199
gift,112,209
moisture,102,221
health,99,222
information,98,226
csce,98,233
arkansas,96,244
abcdef,73,328
privacy,67,335
data,66,343
lawyer,57,369
consumers,55,383
snow,55,405
robot,52,406
surface,41,454
medical,38,471
water,37,486
aug,33,511
records,32,512
care,31,513
journalists,30,537
people,27,582
time,27,593
sar,27,617
press,27,619
measurements,26,644
cut,26,646
personal,25,648
radar,25,662
turkey,25,664
workspace,23,720
al,23,731
et,23,732
spatial,22,749
computer,21,750
microwave,21,778
model,21,779
vegetation,21,781
consumerslawyer,20,792
government,20,798
system,20,808
remote,20,813
sensing,20,815
turkeys,20,816
russian,19,831
public,18,837
studies,18,848
systems,18,860
media,17,864
research,17,869
times,17,879
tool,17,890
access,16,893
federal,16,902
conditions,16,916
days,16,918
roughness,16,923
death,16,924
garden,15,942
cover,15,958
scales,15,964
confidentiality,14,969
home,14,982
insurance,14,991
law,14,994
hydrologic,14,1011
little,14,1012
workcell,14,1026
investigation,14,1027
russia,14,1028
legislation,13,1029
private,13,1035
protection,13,1038
report,13,1040
models,13,1060
active,13,1063
equivalence,13,1070
measured,13,1071
temporal,13,1073
bosnian,13,1079
central,12,1080
comprehensive,12,1083
free,12,1090
individuals,12,1101
major,12,1110
page,12,1117
result,12,1127
results,12,1131
senator,12,1136
technology,12,1137
told,12,1140
weight,12,1143
effect,12,1149
ice,12,1152
mass,12,1153
passive,12,1156
resolution,12,1157
soviet,12,1160
union,12,1162
birds,12,1170
killed,12,1171
geometry,12,1173
crime,12,1174
approach,11,1175
believe,11,1178
committee,11,1180
communications,11,1183
computergarden,11,1186
disclosure,11,1190
months,11,1201
newspaper,11,1211
protect,11,1214
required,11,1217
sensitive,11,1224
industrial,11,1235
algorithms,11,1240
land,11,1241
properties,11,1247
newspapers,11,1253
figure,11,1255
robotrak,11,1256
include,10,1261
program,10,1270
protecting,10,1274
relationship,10,1275
study,10,1280
television,10,1290
accurate,10,1294
modeling,10,1299
progress,10,1307
provide,10,1310
regions,10,1312
training,10,1313
reporter,10,1317
programme,10,1319
alyakina,10,1320
car,10,1321
graves,10,1322
mrozek,10,1323
serb,10,1324
serbs,10,1325
address,9,1326
based,9,1335
cdt,9,1339
country,9,1340
dr,9,1344
employers,9,1347
including,9,1348
june,9,1353
reported,9,1366
security,9,1371
production,9,1386
alpine,9,1393
europe,9,1394
experimental,9,1397
mapping,9,1400
role,9,1405
shown,9,1407
types,9,1413
bird,9,1422
independent,9,1423
advertising,9,1428
pressure,9,1430
waterjet,9,1432
deceased,9,1433
moscow,9,1434
applications,8,1439
association,8,1443
critical,8,1446
employees,8,1457
field,8,1458
lack,8,1464
local,8,1468
monitor,8,1472
national,8,1476
news,8,1482
patients,8,1489
